Task_ID,Assignee,Phase,Module,Task_Name,Description,Priority,Status,Depends_On
V-01,Venkat,1 - Setup,Architecture,Resolve frontend framework,Final call: SvelteKit (per spec) vs React (current package.json). Unblocks all Nishant tasks.,Critical,Completed,
V-02,Venkat,1 - Setup,Architecture,Decide mobile framework,Choose React Native vs Flutter for iOS + Android apps. Drives all M-series tasks.,Critical,Completed,
V-03,Venkat,1 - Setup,Architecture,Finalize API contracts,Document all REST endpoints (request/response schemas). Share with Nishant and Vipin before they start.,High,Completed,
V-04,Venkat,1 - Setup,Infrastructure,Docker Compose local env,Verify docker-compose.yml brings up all services (mongo + redis + livekit + backend + frontend).,High,To Do,
V-05,Venkat,1 - Setup,Infrastructure,Environment variables setup,Create .env files from .env.example for all services. Distribute securely. Confirm LiveKit API key/secret.,High,To Do,
V-06,Venkat,1 - Setup,Infrastructure,Git branching strategy,Define branch naming (feature/fix/chore) PR review process and protected main branch rules.,Medium,To Do,
V-07,Venkat,1 - Setup,LiveKit,LiveKit server config,Review and finalize infrastructure/livekit/livekit.yaml — ports TURN auth keys Egress config.,Medium,To Do,V-05
V-08,Venkat,1 - Setup,Backend,Install all backend packages,Add: pino argon2 mongoose prom-client @opentelemetry/sdk-node firebase-admin node-apn p-retry opossum vitest supertest @fastify/cors @fastify/helmet @fastify/rate-limit,Critical,To Do,
V-09,Venkat,1 - Setup,Database,MongoDB connection,Implement shared/db/mongo.client.ts — Mongoose connection with retry logic and graceful disconnect.,High,To Do,V-08
V-10,Venkat,1 - Setup,Database,Redis connection,Implement shared/db/redis.client.ts — ioredis client with cluster support and reconnect strategy.,High,To Do,V-08
V-11,Venkat,1 - Setup,Database,MongoDB User schema,Define Mongoose User model: _id email passwordHash displayName avatarUrl contacts blocklist pushTokens timestamps. Share with Vipin.,High,To Do,V-09
V-12,Venkat,1 - Setup,Database,MongoDB Call schema,Define Mongoose Call model: _id initiator callee status roomName startTime endTime duration CDR timestamps. Share with Vipin.,High,To Do,V-09
V-13,Venkat,1 - Setup,Database,Redis key naming conventions,Define Redis key patterns and TTL values (presence call-state rate-limit idempotency). Share with Vipin.,High,To Do,V-10
V-14,Venkat,1 - Setup,Observability,Pino logger setup,Implement shared/observability/logger.ts — JSON structured logging with PII redaction (password email tokens).,High,To Do,V-08
V-15,Venkat,1 - Setup,Observability,Prometheus metrics,Implement shared/observability/metrics.ts — RED metrics + business metrics (call duration acceptance rate).,Medium,To Do,V-08
V-16,Venkat,1 - Setup,Observability,OpenTelemetry tracing,Implement shared/observability/tracing.ts — OTLP exporter with span propagation.,Medium,To Do,V-08
V-17,Venkat,2 - Core,LiveKit,LiveKit room creation service,Implement modules/livekit — create/delete rooms via livekit-server-sdk. Handle errors with retry.,High,To Do,V-08 V-07
V-18,Venkat,2 - Core,LiveKit,LiveKit token generation,Per-user per-room tokens with correct grants (canPublish canSubscribe).,High,To Do,V-17
V-19,Venkat,2 - Core,LiveKit,POST /api/webhooks/livekit,Webhook handler with LiveKit signature verification. Handle: participant_joined participant_left room_finished.,High,To Do,V-17
V-20,Venkat,2 - Core,Database,Call state machine (Redis),Implement modules/call/call.state-machine.ts — Redis-backed transitions with TTL=1h. Write final state to MongoDB.,High,To Do,V-10 V-12 V-13
V-21,Venkat,2 - Core,Notifications,FCM service setup,Set up firebase-admin. Implement notification service send method for Android/Web push.,High,To Do,V-08
V-22,Venkat,2 - Core,Notifications,APNs service setup,Add node-apn. Implement send method for iOS push notifications.,Medium,To Do,V-21
V-23,Venkat,2 - Core,Reliability,Retry logic (p-retry),Implement shared/utils/retry.ts — exponential backoff for external calls (LiveKit FCM APNs).,Medium,To Do,V-08
V-24,Venkat,2 - Core,Reliability,Circuit breaker (opossum),Implement shared/utils/circuit-breaker.ts — wrap LiveKit FCM APNs with opossum.,Medium,To Do,V-23
V-25,Venkat,2 - Core,Reliability,Idempotency middleware,Implement shared/utils/idempotency.ts — Redis-backed deduplication using Idempotency-Key header.,Medium,To Do,V-10
V-26,Venkat,2 - Core,Health,Health check endpoints,Implement /health/live (always 200) and /health/ready (checks MongoDB + Redis + LiveKit). /metrics for Prometheus.,High,To Do,V-09 V-10 V-17
V-27,Venkat,2 - Core,Project Management,Weekly architecture review,Weekly sync with Nishant and Vipin. Review progress and resolve blockers.,Medium,To Do,
V-28,Venkat,3 - Advanced,Infrastructure,CI/CD pipeline (GitHub Actions),Lint + typecheck + test on PR. Build and push Docker images on merge to main.,Medium,To Do,V-06
V-29,Venkat,3 - Advanced,Infrastructure,Observability stack (local),Configure Prometheus + Grafana + Jaeger via Docker Compose for team development.,Medium,To Do,V-04 V-15 V-16
